,Age,Gender,Education,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SensationSeeking,Alchol,Caff,Chocalate,Nicotine,depress
244,25-34,Female,University degree,30.0,47.0,51.0,49.0,48.0,2.0,6.0,5,6,4,5,1.5
245,35-44,Male,University degree,54.0,29.0,45.0,50.0,20.0,3.0,5.0,5,6,6,0,1.5
246,25-34,Female,"Some college or university, no certificate or degree",33.0,33.0,34.0,33.0,31.0,1.0,2.0,5,6,6,6,0.0
247,25-34,Female,Professional certificate/diploma,49.0,35.0,37.0,46.0,37.0,4.0,4.0,5,0,5,5,1.0
248,45-54,Male,Masters degree,27.0,38.0,38.0,47.0,52.0,4.0,5.0,6,6,5,0,0.0
249,45-54,Female,Doctorate degree,16.0,41.0,44.0,55.0,53.0,3.0,3.0,5,5,5,0,0.0
250,45-54,Female,Professional certificate/diploma,47.0,42.0,45.0,49.0,49.0,3.0,6.0,5,0,6,6,0.0
251,45-54,Male,University degree,31.0,41.0,44.0,40.0,51.0,5.0,4.0,5,6,6,0,0.0
252,35-44,Female,University degree,42.0,33.0,41.0,42.0,47.0,2.0,2.0,4,5,5,0,0.0
253,18-24,Female,Masters degree,23.0,46.0,42.0,56.0,54.0,3.0,6.0,5,6,4,2,0.0
254,45-54,Female,Doctorate degree,28.0,41.0,48.0,43.0,48.0,2.0,1.0,6,6,5,2,0.0
255,25-34,Male,Professional certificate/diploma,49.0,35.0,41.0,37.0,40.0,2.0,4.0,4,6,4,3,0.0
256,35-44,Female,Masters degree,25.0,51.0,53.0,51.0,47.0,5.0,8.0,5,5,6,2,0.0
257,18-24,Female,"Some college or university, no certificate or degree",31.0,44.0,44.0,48.0,48.0,3.0,6.0,4,2,5,0,0.0
258,35-44,Male,Doctorate degree,36.0,40.0,52.0,25.0,40.0,3.0,7.0,4,6,6,4,1.0
259,65+,Male,Doctorate degree,41.0,39.0,43.0,33.0,53.0,3.0,2.0,5,4,0,0,2.5
260,65+,Male,Professional certificate/diploma,26.0,38.0,48.0,46.0,47.0,4.0,5.0,6,6,5,0,0.0
261,45-54,Female,Professional certificate/diploma,31.0,46.0,58.0,37.0,42.0,9.0,10.0,5,6,5,0,0.0
262,55-64,Male,University degree,29.0,37.0,51.0,43.0,41.0,9.0,7.0,2,0,6,6,1.5
263,45-54,Male,Masters degree,27.0,45.0,44.0,49.0,44.0,2.0,2.0,3,6,4,0,0.0
264,55-64,Female,Left school before 16 years,26.0,40.0,46.0,53.0,49.0,3.0,2.0,5,0,6,1,0.0
265,18-24,Female,University degree,31.0,41.0,46.0,47.0,46.0,2.0,3.0,5,5,5,0,0.0
266,35-44,Female,University degree,33.0,40.0,43.0,43.0,42.0,3.0,1.0,2,6,6,0,0.0
267,55-64,Male,University degree,25.0,39.0,45.0,45.0,47.0,4.0,7.0,6,6,6,1,0.0
268,35-44,Male,Professional certificate/diploma,27.0,49.0,37.0,40.0,42.0,4.0,7.0,6,6,5,0,0.0
269,45-54,Female,Masters degree,26.0,51.0,50.0,46.0,54.0,4.0,5.0,6,6,6,1,0.0
270,35-44,Female,Masters degree,27.0,41.0,40.0,38.0,43.0,2.0,1.0,4,2,4,0,1.0
271,45-54,Female,Masters degree,17.0,53.0,56.0,48.0,47.0,7.0,8.0,6,6,6,0,0.0
272,45-54,Female,Masters degree,43.0,35.0,49.0,45.0,31.0,3.0,9.0,6,6,5,2,0.5
273,55-64,Male,Doctorate degree,26.0,40.0,46.0,45.0,42.0,6.0,4.0,6,6,6,1,0.0
274,25-34,Female,University degree,38.0,41.0,38.0,45.0,44.0,3.0,6.0,6,6,6,4,3.5
275,35-44,Male,Masters degree,38.0,46.0,47.0,37.0,46.0,4.0,9.0,6,6,4,6,5.5
276,35-44,Female,Masters degree,40.0,37.0,47.0,46.0,52.0,2.0,6.0,4,6,4,2,0.0
277,55-64,Male,Doctorate degree,27.0,43.0,42.0,41.0,38.0,4.0,5.0,6,3,3,1,0.0
278,25-34,Male,"Some college or university, no certificate or degree",26.0,49.0,53.0,48.0,41.0,6.0,7.0,5,5,5,3,2.0
279,45-54,Female,University degree,33.0,37.0,44.0,48.0,42.0,3.0,5.0,5,6,5,0,0.0
280,45-54,Male,Masters degree,24.0,45.0,48.0,46.0,45.0,5.0,5.0,5,6,6,1,1.0
281,55-64,Male,Masters degree,35.0,41.0,51.0,43.0,35.0,3.0,4.0,6,6,6,1,0.0
282,45-54,Female,"Some college or university, no certificate or degree",36.0,38.0,30.0,42.0,41.0,3.0,4.0,5,6,6,0,0.5
283,45-54,Female,Masters degree,35.0,40.0,47.0,49.0,48.0,5.0,8.0,5,5,5,0,0.0
284,45-54,Male,University degree,27.0,50.0,47.0,41.0,47.0,5.0,8.0,6,6,5,0,0.0
285,35-44,Male,Professional certificate/diploma,25.0,34.0,51.0,40.0,44.0,8.0,6.0,3,6,5,6,2.5
286,35-44,Male,University degree,27.0,48.0,41.0,41.0,44.0,2.0,6.0,5,6,4,5,0.0
287,45-54,Female,University degree,38.0,30.0,45.0,34.0,41.0,2.0,1.0,5,6,6,0,0.0
288,45-54,Male,Masters degree,39.0,42.0,43.0,46.0,35.0,4.0,6.0,3,6,6,0,1.0
289,25-34,Male,"Some college or university, no certificate or degree",42.0,42.0,41.0,41.0,42.0,4.0,2.0,6,6,6,6,0.0
290,25-34,Female,Masters degree,19.0,44.0,41.0,53.0,49.0,2.0,3.0,4,6,5,6,0.5
291,35-44,Female,Professional certificate/diploma,27.0,46.0,40.0,52.0,48.0,2.0,2.0,0,5,6,0,0.0
292,35-44,Female,"Some college or university, no certificate or degree",42.0,32.0,49.0,38.0,39.0,2.0,5.0,5,4,5,4,0.0
293,45-54,Female,Professional certificate/diploma,35.0,39.0,42.0,39.0,45.0,3.0,5.0,3,6,3,0,0.0
295,25-34,Female,Professional certificate/diploma,47.0,40.0,45.0,38.0,39.0,5.0,6.0,3,3,6,6,0.5
296,18-24,Female,Left school at 17 years,32.0,43.0,45.0,39.0,41.0,3.0,4.0,5,4,6,0,0.0
297,35-44,Male,Professional certificate/diploma,49.0,37.0,47.0,43.0,42.0,3.0,5.0,5,5,6,2,2.5
298,65+,Female,Left school at 16 years,44.0,34.0,47.0,42.0,49.0,4.0,5.0,0,6,6,0,0.0
300,35-44,Female,University degree,37.0,38.0,36.0,53.0,45.0,4.0,2.0,5,6,5,0,0.0
301,35-44,Female,Professional certificate/diploma,44.0,33.0,45.0,46.0,46.0,3.0,4.0,5,4,5,0,0.0
302,25-34,Female,"Some college or university, no certificate or degree",33.0,37.0,35.0,44.0,46.0,2.0,2.0,3,2,6,6,0.0
303,35-44,Female,Doctorate degree,41.0,37.0,41.0,47.0,48.0,3.0,4.0,6,6,6,1,0.0
304,55-64,Female,Professional certificate/diploma,34.0,44.0,46.0,38.0,39.0,4.0,7.0,6,6,5,1,0.5
305,45-54,Female,University degree,32.0,40.0,37.0,42.0,48.0,4.0,3.0,6,6,6,0,0.0
306,45-54,Female,University degree,26.0,22.0,37.0,53.0,43.0,3.0,2.0,4,6,4,0,1.0
307,35-44,Male,Masters degree,38.0,31.0,40.0,36.0,47.0,2.0,4.0,5,6,6,2,0.5
308,45-54,Male,Masters degree,31.0,36.0,41.0,50.0,47.0,3.0,5.0,5,6,5,0,0.0
309,35-44,Female,Left school at 18 years ,21.0,45.0,45.0,43.0,52.0,5.0,7.0,5,6,5,0,0.0
310,35-44,Male,Masters degree,28.0,41.0,45.0,47.0,45.0,2.0,1.0,6,6,6,0,0.0
311,45-54,Female,University degree,24.0,39.0,40.0,44.0,46.0,2.0,2.0,3,6,6,4,0.0
312,18-24,Female,Left school at 16 years,47.0,36.0,32.0,41.0,41.0,9.0,9.0,3,6,6,2,0.0
313,45-54,Female,Masters degree,32.0,40.0,43.0,45.0,43.0,2.0,5.0,6,6,6,0,0.5
314,25-34,Female,Masters degree,36.0,51.0,48.0,47.0,50.0,5.0,5.0,5,6,5,5,0.5
315,18-24,Female,Left school at 18 years ,30.0,41.0,41.0,44.0,41.0,3.0,3.0,5,6,4,5,0.0
316,45-54,Female,Doctorate degree,28.0,45.0,50.0,43.0,45.0,3.0,5.0,5,6,4,1,0.0
317,55-64,Female,University degree,31.0,45.0,53.0,40.0,36.0,9.0,8.0,5,6,6,6,0.0
318,35-44,Male,University degree,28.0,52.0,39.0,43.0,49.0,3.0,5.0,5,6,4,3,0.0
319,25-34,Female,Professional certificate/diploma,36.0,40.0,41.0,45.0,48.0,2.0,3.0,2,6,5,0,0.0
320,45-54,Female,Left school at 16 years,39.0,38.0,37.0,42.0,46.0,7.0,8.0,4,0,6,0,0.0
321,45-54,Female,University degree,43.0,38.0,42.0,36.0,41.0,2.0,3.0,5,6,5,0,0.0
322,35-44,Female,"Some college or university, no certificate or degree",41.0,38.0,39.0,54.0,52.0,2.0,1.0,5,6,6,0,0.0
323,18-24,Female,University degree,28.0,43.0,49.0,49.0,43.0,4.0,8.0,5,6,6,2,1.0
324,45-54,Male,Left school at 17 years,45.0,32.0,34.0,45.0,36.0,3.0,7.0,6,6,5,1,0.5
325,25-34,Female,Doctorate degree,38.0,40.0,55.0,37.0,48.0,5.0,5.0,5,6,5,0,0.0
326,35-44,Female,Professional certificate/diploma,28.0,48.0,45.0,49.0,55.0,5.0,5.0,5,5,6,0,0.0
327,35-44,Male,Left school at 18 years ,30.0,28.0,32.0,49.0,45.0,6.0,7.0,6,4,5,6,1.0
328,45-54,Male,Masters degree,20.0,50.0,46.0,53.0,50.0,2.0,4.0,6,6,5,1,0.0
329,25-34,Female,Professional certificate/diploma,38.0,38.0,37.0,50.0,38.0,2.0,1.0,5,6,6,6,1.0
330,45-54,Male,Professional certificate/diploma,32.0,43.0,39.0,46.0,41.0,6.0,6.0,4,6,5,2,0.5
331,45-54,Female,Professional certificate/diploma,26.0,43.0,41.0,48.0,47.0,4.0,6.0,1,6,5,0,0.0
332,35-44,Male,Left school before 16 years,33.0,37.0,39.0,40.0,46.0,2.0,4.0,6,6,6,6,2.0
333,55-64,Female,Left school at 18 years ,31.0,37.0,35.0,49.0,47.0,2.0,2.0,0,5,0,5,0.0
334,18-24,Female,"Some college or university, no certificate or degree",59.0,26.0,40.0,46.0,28.0,5.0,5.0,6,6,6,6,1.5
335,65+,Male,"Some college or university, no certificate or degree",24.0,37.0,39.0,44.0,43.0,8.0,6.0,4,6,6,1,2.5
336,65+,Female,Left school at 16 years,34.0,39.0,36.0,34.0,42.0,4.0,9.0,4,6,6,6,0.0
337,25-34,Female,Masters degree,40.0,36.0,50.0,46.0,34.0,9.0,9.0,6,6,5,3,0.0
338,45-54,Female,Masters degree,42.0,41.0,45.0,43.0,50.0,4.0,4.0,5,0,0,5,0.0
339,45-54,Female,Professional certificate/diploma,30.0,42.0,53.0,31.0,45.0,9.0,8.0,5,6,6,6,1.5
340,35-44,Male,Doctorate degree,20.0,48.0,48.0,48.0,51.0,4.0,8.0,6,0,4,0,0.0
341,45-54,Female,Professional certificate/diploma,34.0,38.0,42.0,49.0,47.0,2.0,6.0,5,3,5,0,0.0
342,35-44,Female,Masters degree,31.0,47.0,52.0,45.0,45.0,1.0,6.0,5,6,5,6,0.0
343,55-64,Female,Professional certificate/diploma,21.0,46.0,44.0,49.0,53.0,1.0,2.0,5,6,6,0,0.0
344,55-64,Female,Professional certificate/diploma,42.0,40.0,46.0,42.0,46.0,5.0,5.0,1,6,6,6,0.5
345,18-24,Female,Left school before 16 years,38.0,39.0,46.0,42.0,39.0,7.0,4.0,5,6,5,6,4.5
346,35-44,Female,Masters degree,20.0,41.0,55.0,54.0,49.0,3.0,4.0,1,6,5,6,1.0
347,35-44,Female,University degree,36.0,43.0,45.0,49.0,44.0,5.0,6.0,2,6,6,6,2.0
348,45-54,Female,University degree,34.0,51.0,56.0,57.0,44.0,9.0,10.0,6,6,5,6,0.0
349,45-54,Male,Masters degree,27.0,45.0,46.0,43.0,45.0,2.0,2.0,2,6,6,0,1.5
350,45-54,Male,Professional certificate/diploma,30.0,42.0,43.0,42.0,44.0,4.0,3.0,6,6,6,0,2.0
351,45-54,Male,University degree,41.0,35.0,42.0,44.0,41.0,4.0,8.0,5,6,5,6,1.0
352,35-44,Female,"Some college or university, no certificate or degree",46.0,36.0,52.0,51.0,37.0,7.0,6.0,4,6,5,6,2.5
353,35-44,Male,Professional certificate/diploma,40.0,41.0,46.0,40.0,38.0,4.0,8.0,5,5,4,2,2.5
354,45-54,Male,University degree,34.0,35.0,49.0,48.0,31.0,5.0,6.0,1,6,5,1,1.0
355,25-34,Male,Left school at 16 years,31.0,40.0,45.0,39.0,45.0,6.0,4.0,2,5,5,2,1.0
356,35-44,Male,Professional certificate/diploma,38.0,39.0,46.0,45.0,40.0,3.0,8.0,2,6,5,3,1.5
357,25-34,Male,Left school before 16 years,42.0,40.0,54.0,54.0,48.0,9.0,11.0,6,6,6,6,2.5
358,45-54,Male,University degree,25.0,39.0,37.0,52.0,45.0,3.0,7.0,6,6,5,2,0.5
359,35-44,Male,Left school at 16 years,57.0,31.0,39.0,31.0,29.0,9.0,11.0,3,5,5,6,1.0
360,35-44,Male,"Some college or university, no certificate or degree",40.0,34.0,52.0,44.0,39.0,6.0,6.0,2,6,6,2,2.0
361,25-34,Female,"Some college or university, no certificate or degree",30.0,50.0,50.0,44.0,45.0,8.0,11.0,5,6,5,3,2.0
362,45-54,Female,University degree,41.0,45.0,46.0,44.0,41.0,4.0,7.0,2,6,5,2,1.0
363,35-44,Female,Professional certificate/diploma,42.0,44.0,53.0,49.0,50.0,7.0,8.0,5,6,4,6,3.0
364,45-54,Male,University degree,40.0,42.0,45.0,47.0,45.0,3.0,5.0,2,6,5,6,1.5
365,45-54,Female,Professional certificate/diploma,48.0,39.0,37.0,48.0,45.0,2.0,1.0,5,6,6,0,0.5
366,35-44,Female,Doctorate degree,40.0,39.0,47.0,43.0,38.0,4.0,6.0,5,5,4,1,0.0
367,45-54,Male,Professional certificate/diploma,34.0,40.0,42.0,40.0,32.0,2.0,2.0,5,6,4,2,0.5
368,35-44,Female,University degree,26.0,43.0,45.0,42.0,46.0,2.0,3.0,0,6,5,0,0.0
369,45-54,Female,University degree,25.0,43.0,48.0,46.0,44.0,5.0,6.0,5,6,5,2,2.5
370,25-34,Male,Professional certificate/diploma,35.0,33.0,34.0,44.0,47.0,4.0,4.0,6,6,5,6,0.0
371,25-34,Female,University degree,48.0,42.0,48.0,48.0,37.0,5.0,6.0,3,6,5,6,3.5
372,18-24,Male,Left school at 18 years ,38.0,42.0,47.0,37.0,40.0,3.0,7.0,5,6,0,6,0.0
373,35-44,Female,University degree,46.0,54.0,56.0,34.0,45.0,8.0,11.0,5,6,6,6,1.5
374,18-24,Female,"Some college or university, no certificate or degree",45.0,46.0,38.0,47.0,44.0,4.0,8.0,5,4,5,5,1.0
375,45-54,Male,University degree,32.0,27.0,51.0,37.0,43.0,4.0,5.0,6,6,5,0,0.5
376,55-64,Female,Masters degree,33.0,48.0,52.0,53.0,49.0,3.0,3.0,6,6,6,0,0.0
377,65+,Male,Professional certificate/diploma,37.0,41.0,48.0,34.0,51.0,2.0,4.0,6,6,4,0,0.5
378,45-54,Female,Masters degree,27.0,40.0,41.0,44.0,48.0,3.0,8.0,5,6,5,2,0.0
379,25-34,Female,University degree,31.0,36.0,34.0,46.0,38.0,3.0,3.0,5,6,5,0,0.0
380,25-34,Male,Masters degree,44.0,33.0,50.0,47.0,47.0,6.0,6.0,0,4,4,0,0.0
381,45-54,Female,Professional certificate/diploma,44.0,37.0,51.0,43.0,44.0,4.0,6.0,6,6,6,1,0.0
382,35-44,Male,University degree,31.0,47.0,44.0,39.0,43.0,5.0,9.0,2,6,5,2,2.0
383,35-44,Male,Left school at 16 years,32.0,36.0,38.0,37.0,36.0,8.0,5.0,4,6,6,6,0.5
384,35-44,Female,Masters degree,28.0,41.0,45.0,41.0,47.0,5.0,8.0,5,6,6,1,0.0
385,45-54,Female,University degree,37.0,38.0,43.0,50.0,47.0,1.0,5.0,5,6,6,0,0.0
386,45-54,Female,University degree,33.0,41.0,39.0,48.0,46.0,5.0,2.0,1,0,4,0,0.0
387,25-34,Male,Professional certificate/diploma,30.0,37.0,29.0,44.0,39.0,3.0,6.0,5,6,6,6,1.0
388,45-54,Male,Left school at 18 years ,19.0,43.0,38.0,53.0,46.0,3.0,5.0,4,6,6,0,0.0
389,25-34,Male,University degree,24.0,42.0,42.0,34.0,54.0,3.0,7.0,0,0,5,0,0.0
390,35-44,Male,Professional certificate/diploma,37.0,38.0,47.0,42.0,40.0,4.0,4.0,3,6,6,6,0.0
391,25-34,Male,Doctorate degree,30.0,42.0,45.0,44.0,46.0,2.0,2.0,5,6,6,4,0.0
392,35-44,Female,"Some college or university, no certificate or degree",29.0,37.0,48.0,44.0,42.0,5.0,4.0,2,6,6,6,2.0
393,25-34,Female,University degree,42.0,40.0,47.0,45.0,43.0,3.0,5.0,5,6,5,0,0.0
394,35-44,Female,Left school at 17 years,31.0,42.0,42.0,43.0,49.0,3.0,3.0,5,6,6,0,0.0
395,25-34,Female,Professional certificate/diploma,28.0,39.0,30.0,39.0,51.0,2.0,1.0,6,0,6,0,0.0
396,25-34,Male,Professional certificate/diploma,23.0,44.0,45.0,38.0,53.0,6.0,8.0,6,6,6,5,0.5
397,35-44,Male,University degree,38.0,48.0,43.0,33.0,36.0,9.0,10.0,6,4,5,5,1.0
398,35-44,Female,University degree,20.0,44.0,39.0,41.0,46.0,4.0,5.0,6,6,5,1,0.0
399,45-54,Male,Professional certificate/diploma,37.0,43.0,40.0,33.0,45.0,8.0,10.0,6,6,5,6,0.0
400,25-34,Female,Masters degree,28.0,42.0,48.0,34.0,48.0,7.0,5.0,6,6,3,6,0.0
401,45-54,Male,Masters degree,27.0,48.0,55.0,49.0,46.0,3.0,3.0,1,5,6,4,0.5
402,25-34,Female,Left school at 18 years ,34.0,39.0,32.0,47.0,47.0,3.0,4.0,4,6,6,1,0.0
403,45-54,Male,Left school at 16 years,37.0,32.0,43.0,32.0,37.0,9.0,10.0,5,6,6,6,1.0
404,18-24,Male,"Some college or university, no certificate or degree",27.0,35.0,44.0,39.0,32.0,6.0,8.0,5,5,6,0,0.0
405,18-24,Male,University degree,23.0,44.0,44.0,38.0,39.0,2.0,5.0,5,5,5,6,1.0
406,45-54,Male,Left school at 17 years,45.0,39.0,45.0,42.0,44.0,7.0,7.0,3,6,6,6,1.0
407,18-24,Female,Left school before 16 years,37.0,50.0,57.0,51.0,42.0,8.0,9.0,5,6,6,6,2.5
408,45-54,Female,University degree,53.0,33.0,56.0,43.0,39.0,5.0,8.0,3,6,6,6,0.0
409,35-44,Male,Left school at 17 years,49.0,39.0,44.0,41.0,37.0,4.0,7.0,6,6,2,6,1.5
410,25-34,Male,University degree,29.0,41.0,50.0,44.0,40.0,5.0,2.0,3,6,6,6,1.0
411,35-44,Female,Professional certificate/diploma,22.0,45.0,51.0,45.0,46.0,4.0,8.0,1,6,6,6,1.0
412,45-54,Male,Left school at 18 years ,46.0,30.0,49.0,49.0,31.0,7.0,8.0,5,6,6,2,1.5
413,35-44,Female,"Some college or university, no certificate or degree",31.0,29.0,48.0,44.0,29.0,4.0,4.0,3,3,6,1,0.5
414,25-34,Female,University degree,37.0,47.0,39.0,46.0,40.0,3.0,5.0,6,3,6,2,0.0
415,35-44,Male,"Some college or university, no certificate or degree",36.0,39.0,51.0,44.0,39.0,4.0,6.0,5,6,5,6,2.0
416,35-44,Female,"Some college or university, no certificate or degree",20.0,42.0,38.0,42.0,37.0,5.0,6.0,6,6,4,1,0.0
417,18-24,Male,Left school at 18 years ,30.0,32.0,42.0,29.0,56.0,4.0,9.0,6,6,6,5,1.5
418,18-24,Male,"Some college or university, no certificate or degree",35.0,35.0,48.0,28.0,32.0,5.0,9.0,5,6,5,6,3.0
419,25-34,Male,"Some college or university, no certificate or degree",28.0,46.0,47.0,36.0,37.0,8.0,11.0,5,5,4,2,1.0
420,25-34,Female,Doctorate degree,39.0,40.0,53.0,40.0,45.0,4.0,6.0,6,6,5,0,1.5
421,25-34,Male,University degree,42.0,41.0,45.0,41.0,43.0,5.0,5.0,6,6,6,0,0.0
422,18-24,Male,Left school at 18 years ,39.0,45.0,46.0,37.0,49.0,6.0,9.0,4,6,4,5,0.0
423,25-34,Male,"Some college or university, no certificate or degree",39.0,27.0,36.0,41.0,39.0,6.0,4.0,5,6,6,6,1.0
424,35-44,Male,Professional certificate/diploma,28.0,39.0,46.0,54.0,37.0,4.0,3.0,4,6,6,6,2.0
425,35-44,Female,University degree,26.0,45.0,41.0,51.0,48.0,4.0,4.0,6,6,6,1,0.0
426,45-54,Female,Doctorate degree,41.0,40.0,56.0,49.0,42.0,8.0,8.0,3,6,6,1,1.0
427,35-44,Male,University degree,32.0,38.0,47.0,41.0,29.0,4.0,4.0,6,6,5,5,1.5
428,45-54,Male,Left school at 16 years,38.0,40.0,44.0,42.0,42.0,6.0,6.0,5,5,4,1,1.5
429,35-44,Male,University degree,42.0,34.0,45.0,34.0,41.0,7.0,7.0,6,6,5,0,1.0
430,25-34,Female,Left school at 18 years ,27.0,39.0,31.0,45.0,47.0,2.0,2.0,5,6,6,2,1.5
431,25-34,Male,Left school before 16 years,38.0,33.0,36.0,38.0,40.0,4.0,6.0,5,6,6,6,0.0
432,25-34,Female,Left school at 18 years ,36.0,42.0,39.0,49.0,34.0,5.0,6.0,5,6,5,5,0.5
433,25-34,Male,University degree,33.0,38.0,34.0,45.0,43.0,3.0,3.0,5,5,5,0,0.0
434,45-54,Female,Left school at 16 years,38.0,52.0,38.0,51.0,41.0,9.0,9.0,6,2,4,3,0.5
435,18-24,Female,University degree,34.0,46.0,35.0,56.0,52.0,4.0,5.0,5,6,6,0,1.0
436,25-34,Female,University degree,36.0,43.0,38.0,47.0,53.0,3.0,5.0,4,4,6,0,0.0
437,55-64,Male,"Some college or university, no certificate or degree",29.0,38.0,53.0,54.0,47.0,2.0,3.0,1,2,5,0,0.0
438,45-54,Male,Left school at 16 years,23.0,43.0,48.0,37.0,45.0,6.0,8.0,6,6,4,2,2.0
439,25-34,Female,University degree,59.0,37.0,40.0,31.0,26.0,7.0,7.0,5,6,6,6,3.0
440,18-24,Female,"Some college or university, no certificate or degree",49.0,38.0,48.0,42.0,28.0,5.0,6.0,4,5,6,3,0.0
441,35-44,Female,University degree,31.0,43.0,42.0,48.0,53.0,4.0,5.0,6,6,6,2,0.0
442,18-24,Female,"Some college or university, no certificate or degree",29.0,49.0,31.0,43.0,46.0,6.0,7.0,3,5,6,0,0.0
443,25-34,Female,Masters degree,27.0,40.0,48.0,42.0,42.0,5.0,7.0,5,6,6,6,0.0
444,35-44,Male,Left school at 16 years,40.0,44.0,41.0,38.0,40.0,4.0,6.0,5,6,6,5,0.0
445,45-54,Female,Professional certificate/diploma,31.0,45.0,50.0,44.0,47.0,1.0,4.0,5,6,6,0,0.0
446,45-54,Female,University degree,46.0,33.0,42.0,37.0,45.0,4.0,2.0,5,6,5,6,0.0
447,25-34,Female,University degree,38.0,32.0,49.0,58.0,37.0,3.0,8.0,6,5,5,6,2.0
448,25-34,Male,Masters degree,36.0,39.0,40.0,38.0,33.0,8.0,7.0,6,6,6,6,0.5
449,18-24,Female,"Some college or university, no certificate or degree",47.0,49.0,53.0,31.0,35.0,8.0,10.0,5,6,5,5,2.5
450,18-24,Male,University degree,32.0,44.0,49.0,41.0,47.0,4.0,7.0,5,3,6,0,1.5
451,18-24,Female,University degree,43.0,39.0,40.0,47.0,34.0,6.0,7.0,5,6,4,6,2.0
452,18-24,Female,Masters degree,25.0,45.0,40.0,42.0,47.0,5.0,5.0,5,4,5,2,0.0
453,35-44,Female,University degree,34.0,39.0,47.0,44.0,48.0,2.0,7.0,5,3,6,3,0.0
454,25-34,Male,University degree,48.0,27.0,44.0,44.0,45.0,2.0,6.0,5,4,5,2,1.5
455,45-54,Male,Doctorate degree,34.0,36.0,52.0,38.0,40.0,9.0,9.0,6,6,6,4,3.5
456,18-24,Female,University degree,44.0,34.0,51.0,38.0,22.0,7.0,6.0,6,6,5,5,1.5
457,35-44,Male,University degree,51.0,37.0,48.0,28.0,37.0,7.0,8.0,6,6,6,6,2.5
458,35-44,Female,Masters degree,31.0,36.0,47.0,47.0,47.0,2.0,1.0,5,6,6,0,0.0
459,18-24,Female,University degree,42.0,40.0,47.0,47.0,43.0,4.0,7.0,6,6,6,6,1.0
460,25-34,Male,Masters degree,45.0,48.0,57.0,26.0,39.0,6.0,7.0,4,6,6,5,0.0
461,18-24,Female,University degree,48.0,30.0,54.0,31.0,44.0,7.0,7.0,6,6,6,6,3.5
462,18-24,Male,"Some college or university, no certificate or degree",50.0,30.0,28.0,54.0,32.0,6.0,3.0,5,6,4,0,1.0
463,35-44,Male,"Some college or university, no certificate or degree",44.0,43.0,55.0,44.0,24.0,8.0,10.0,3,6,6,6,1.5
464,45-54,Male,Left school at 18 years ,46.0,33.0,42.0,52.0,32.0,4.0,8.0,6,6,3,3,1.0
465,18-24,Female,University degree,39.0,34.0,53.0,48.0,48.0,5.0,6.0,5,5,5,6,2.5
466,18-24,Female,Masters degree,49.0,32.0,46.0,40.0,39.0,8.0,9.0,5,6,6,6,1.0
467,18-24,Female,University degree,39.0,44.0,53.0,50.0,40.0,3.0,9.0,0,6,5,6,1.0
468,45-54,Male,University degree,38.0,40.0,54.0,43.0,51.0,4.0,6.0,6,2,5,2,0.5
469,35-44,Male,University degree,35.0,41.0,41.0,41.0,43.0,2.0,3.0,6,6,6,0,0.0
470,25-34,Male,University degree,25.0,51.0,55.0,48.0,42.0,7.0,10.0,5,6,5,6,1.0
471,45-54,Female,Left school at 16 years,59.0,28.0,36.0,53.0,26.0,4.0,7.0,3,6,6,6,3.5
472,18-24,Female,University degree,37.0,45.0,48.0,42.0,47.0,3.0,4.0,4,6,6,0,0.0
473,18-24,Male,Masters degree,27.0,55.0,53.0,50.0,55.0,4.0,8.0,5,6,5,6,2.0
474,18-24,Female,Left school before 16 years,39.0,40.0,45.0,51.0,42.0,5.0,6.0,5,6,5,6,2.0
475,35-44,Female,"Some college or university, no certificate or degree",49.0,40.0,43.0,38.0,38.0,7.0,6.0,2,6,5,6,1.5
476,55-64,Female,University degree,33.0,46.0,47.0,42.0,45.0,2.0,1.0,6,6,5,0,0.0
477,45-54,Female,University degree,25.0,46.0,43.0,48.0,48.0,3.0,4.0,3,6,4,1,0.0
478,35-44,Male,University degree,52.0,33.0,50.0,31.0,39.0,5.0,4.0,6,6,3,6,0.0
479,35-44,Female,Professional certificate/diploma,50.0,35.0,41.0,35.0,32.0,8.0,9.0,6,6,5,6,3.5
480,25-34,Female,University degree,40.0,45.0,44.0,49.0,46.0,4.0,7.0,6,6,6,2,0.0
481,25-34,Female,Masters degree,40.0,37.0,55.0,52.0,44.0,5.0,8.0,6,6,5,3,1.0
482,18-24,Male,"Some college or university, no certificate or degree",47.0,34.0,45.0,34.0,37.0,2.0,4.0,3,6,4,6,1.5
483,35-44,Female,University degree,46.0,41.0,48.0,42.0,46.0,5.0,8.0,6,6,5,6,3.5
484,35-44,Male,"Some college or university, no certificate or degree",29.0,39.0,48.0,44.0,52.0,3.0,6.0,0,6,2,3,0.0
485,25-34,Female,University degree,48.0,43.0,55.0,45.0,48.0,5.0,4.0,2,5,5,3,2.0
486,35-44,Female,Left school at 16 years,30.0,46.0,42.0,48.0,40.0,2.0,3.0,4,6,6,6,0.5
487,45-54,Female,Left school at 16 years,31.0,42.0,35.0,50.0,36.0,2.0,4.0,6,6,5,6,0.5
488,25-34,Male,Left school at 18 years ,50.0,28.0,53.0,38.0,31.0,3.0,3.0,5,6,4,5,1.0
489,35-44,Female,Left school at 18 years ,53.0,27.0,54.0,36.0,44.0,5.0,5.0,4,6,6,6,3.0
